ltable_id,rtable_id,label
2050,270,1
516,735,1
18,1164,1
2581,1390,1
2583,598,1
49,1913,1
1589,691,1
1088,280,1
1089,104,1
586,1062,1
1631,1097,1
1125,1948,1
104,2174,1
105,2037,1
632,200,1
1658,2286,1
636,2023,1
1149,155,1
640,1050,1
1669,839,1
153,2211,1
674,1455,1
1188,2024,1
1705,344,1
174,965,1
183,580,1
700,132,1
1212,2103,1
1728,999,1
193,536,1
1220,1801,1
1738,1318,1
718,889,1
718,2104,1
208,1018,1
1746,1465,1
730,741,1
2273,419,1
738,413,1
739,1554,1
229,576,1
230,192,1
1766,1011,1
743,1785,1
748,618,1
753,1229,1
754,57,1
2308,2104,1
1286,146,1
775,344,1
2326,2036,1
1317,444,1
828,655,1
829,1001,1
2369,220,1
839,998,1
328,955,1
335,202,1
865,82,1
872,1057,1
1390,783,1
369,1200,1
1398,1996,1
1403,567,1
895,195,1
1409,443,1
900,1131,1
1924,1141,1
1926,1392,1
903,646,1
1932,761,1
2451,1084,1
923,821,1
1948,405,1
1451,761,1
1452,2125,1
1452,2202,1
2490,1033,1
448,913,1
459,1459,1
2511,2286,1
2512,30,1
1496,1829,1
475,911,1
993,1010,1
2022,26,1
1001,1498,1
2039,681,1
1541,255,1
521,2139,1
2069,1407,1
2070,880,1
2590,1059,1
1061,1284,1
2090,289,1
557,78,1
1594,880,1
1602,69,1
590,36,1
2145,935,1
2188,768,1
1171,1344,1
1686,2268,1
664,1094,1
2201,957,1
666,588,1
745,1796,1
254,529,1
256,1020,1
1799,1976,1
278,164,1
1823,2268,1
821,1762,1
312,1699,1
1850,2225,1
2367,1805,1
841,1517,1
2382,1078,1
847,1191,1
1372,502,1
867,823,1
2427,2260,1
380,1070,1
896,837,1
913,1004,1
1946,2145,1
928,2268,1
1457,835,1
2486,171,1
1473,1291,1
961,982,1
991,2268,1
484,223,1
1009,1226,1
1522,2065,1
499,165,1
1015,1601,1
2560,404,1
3,1125,1
1036,1711,1
2061,1127,1
1040,353,1
17,1808,1
1042,1638,1
530,1633,1
31,1434,1
546,1874,1
556,711,1
2092,2054,1
562,235,1
1593,2021,1
1086,917,1
575,527,1
69,1479,1
70,963,1
1615,142,1
79,1943,1
1111,1645,1
87,866,1
1121,473,1
1634,1506,1
2158,1518,1
111,1971,1
1142,1839,1
633,647,1
2180,852,1
1679,151,1
152,398,1
670,587,1
1702,208,1
1704,99,1
682,1218,1
683,1744,1
2224,1758,1
185,254,1
194,1995,1
1743,50,1
2259,67,1
1747,2105,1
1240,1711,1
1242,279,1
2274,41,1
233,1557,1
746,243,1
751,236,1
757,849,1
765,1672,1
1278,688,1
1798,2182,1
1291,2109,1
1811,481,1
1306,2216,1
805,637,1
1318,1929,1
2344,63,1
296,1355,1
1328,517,1
818,1519,1
2383,1071,1
341,1715,1
343,293,1
862,52,1
2409,2046,1
362,174,1
1902,2231,1
1393,241,1
1910,1516,1
376,1165,1
892,1122,1
1406,1824,1
2431,1916,1
2430,2245,1
1418,1720,1
1931,1935,1
932,62,1
933,1883,1
1975,858,1
443,1993,1
1983,2098,1
1993,1462,1
2514,566,1
2013,986,1
998,2266,1
1518,1917,1
1021,1534,1
1,1093,1
1539,2193,1
515,1075,1
1043,1951,1
531,1089,1
1562,2274,1
38,2090,1
552,1538,1
43,672,1
1596,230,1
581,267,1
2125,1235,1
1118,1205,1
612,139,1
2150,1718,1
616,1348,1
620,339,1
630,964,1
631,1190,1
635,1902,1
136,550,1
142,189,1
2195,1932,1
149,678,1
2199,833,1
1691,324,1
2209,1827,1
2210,1440,1
1698,6,1
168,1821,1
171,1130,1
688,1866,1
1729,1150,1
2246,1108,1
200,2196,1
1737,830,1
1744,308,1
1758,707,1
1775,870,1
1777,79,1
756,1580,1
264,1266,1
788,1111,1
1816,2215,1
1818,194,1
799,53,1
1314,693,1
290,470,1
813,2088,1
814,1102,1
817,196,1
824,1930,1
1337,312,1
1344,792,1
1864,2088,1
2378,1028,1
2388,1514,1
856,855,1
2394,409,1
350,233,1
1894,2204,1
2407,113,1
1896,222,1
1904,79,1
1397,1216,1
1401,1280,1
379,214,1
901,2053,1
1927,2085,1
2443,1784,1
1933,990,1
1425,2196,1
2474,1924,1
434,675,1
435,840,1
450,458,1
2504,1704,1
1488,1991,1
2516,2050,1
2034,1286,1
1019,629,1
2052,994,1
2056,2209,1
2578,1848,1
1046,37,1
23,1149,1
2073,2284,1
551,168,1
2600,956,1
41,2283,1
2091,1772,1
560,1302,1
2608,555,1
1075,125,1
1587,1738,1
2107,1934,1
1599,1248,1
64,1256,1
2113,391,1
1091,1168,1
592,1878,1
1128,134,1
108,2252,1
1646,894,1
623,2188,1
2159,928,1
1147,819,1
124,1064,1
134,699,1
2193,918,1
2193,1332,1
1693,217,1
1694,313,1
1695,21,1
2208,1922,1
1701,1189,1
1204,1192,1
710,94,1
2255,918,1
2255,1332,1
720,1248,1
1236,660,1
1751,1273,1
732,995,1
1247,1458,1
750,411,1
239,813,1
2288,1393,1
1265,1603,1
243,1778,1
2294,1795,1
761,1376,1
769,864,1
266,118,1
2318,1512,1
1299,2057,1
1312,1064,1
2337,1830,1
299,335,1
2351,1981,1
2352,808,1
2354,704,1
2355,1351,1
1333,354,1
310,292,1
1338,1925,1
320,1442,1
866,553,1
1385,127,1
2413,2267,1
890,865,1
2452,1511,1
1947,1779,1
2468,699,1
425,1187,1
428,285,1
1458,1933,1
951,1300,1
1466,1444,1
954,884,1
1479,366,1
462,317,1
975,1625,1
2003,1273,1
2008,1236,1
1497,1118,1
2523,1376,1
1503,1967,1
2018,1923,1
2020,1379,1
2553,1023,1
1029,970,1
1031,1501,1
520,180,1
2576,1500,1
1560,1267,1
538,1042,1
28,1176,1
2078,86,1
1577,232,1
2046,582,1
63,809,1
1603,645,1
2120,769,1
1609,2116,1
1607,1607,1
73,311,1
1106,1238,1
88,652,1
1624,488,1
1625,1368,1
98,1908,1
611,2092,1
100,1058,1
1641,1120,1
1642,2155,1
119,1478,1
1661,1940,1
642,452,1
644,591,1
135,1521,1
2192,1422,1
656,1799,1
147,463,1
661,1836,1
2204,1249,1
676,1936,1
1706,1649,1
2230,2265,1
1719,750,1
199,543,1
729,1021,1
2267,108,1
2277,2063,1
2281,1426,1
236,1714,1
248,1708,1
1790,706,1
259,2192,1
1290,385,1
779,2002,1
2317,2061,1
286,548,1
1330,2117,1
2356,461,1
1877,1865,1
1370,2003,1
871,2081,1
2411,921,1
2417,843,1
1402,2005,1
893,478,1
1920,291,1
2440,1126,1
905,1791,1
398,1396,1
1435,628,1
424,1813,1
429,1364,1
1968,1276,1
2488,48,1
440,2,1
1985,1983,1
1484,872,1
470,991,1
2009,1271,1
988,949,1
990,1644,1
479,1208,1
992,1637,1
1525,1810,1
1530,306,1
2557,1368,1
2561,569,1
2563,2056,1
2060,2014,1
15,1132,1
2068,703,1
27,1418,1
2589,431,1
2074,578,1
543,204,1
545,1160,1
2593,960,1
542,1035,1
1582,1013,1
2606,1153,1
2096,1472,1
1081,1980,1
2110,1347,1
2114,879,1
1098,689,1
2126,846,1
1115,1425,1
605,893,1
94,1609,1
103,950,1
106,785,1
107,799,1
1148,1402,1
638,1006,1
1663,1321,1
2176,490,1
2182,1432,1
1670,205,1
651,2014,1
1675,1261,1
665,2264,1
1690,695,1
2205,1482,1
2206,723,1
671,2290,1
1700,1725,1
1189,1969,1
166,209,1
175,256,1
1713,980,1
690,262,1
707,1569,1
711,1871,1
1226,2008,1
1741,66,1
1256,1357,1
2289,1877,1
246,1497,1
250,812,1
1787,1634,1
2303,59,1
261,1931,1
2310,1477,1
263,847,1
786,720,1
1324,1984,1
309,1369,1
827,173,1
1339,703,1
2366,2008,1
331,1701,1
1869,302,1
1872,1174,1
2389,417,1
1371,1776,1
356,1052,1
361,980,1
1395,1632,1
2424,620,1
2432,805,1
908,136,1
397,1016,1
1938,73,1
1430,1475,1
1434,847,1
922,1316,1
2462,879,1
2462,2107,1
2466,1510,1
423,357,1
1448,476,1
430,1113,1
436,951,1
1468,256,1
2012,375,1
2532,1374,1
2539,416,1
497,2022,1
501,1571,1
1531,2022,1
1537,492,1
1028,27,1
522,537,1
2063,1944,1
1556,2214,1
2072,1484,1
25,806,1
1051,1227,1
2077,1532,1
2585,1903,1
1569,95,1
1572,1362,1
548,1367,1
554,153,1
2603,1947,1
2613,535,1
2104,831,1
579,331,1
2115,190,1
1094,876,1
76,2247,1
77,1651,1
1623,1275,1
603,2072,1
2140,781,1
99,2247,1
2154,1162,1
1131,92,1
1174,2044,1
1699,257,1
2216,851,1
697,1590,1
1213,1464,1
1218,1019,1
1222,392,1
1225,17,1
1252,1857,1
1765,1783,1
1776,408,1
1778,1856,1
1269,106,1
